AccountNumber,Balance
ACC100159,544793.79
ACC100160,767304.91
ACC100161,483061.71
ACC100162,118052.76
ACC100163,862864.25
ACC100164,441152.91
ACC100165,451650.48
ACC100166,47919.25
ACC100167,430949.85
ACC100168,564692.79
ACC100169,341057.90
ACC100170,998471.38
ACC100171,529248.57
ACC100172,526192.74
ACC100173,602263.64
ACC100174,472629.60
ACC100175,752490.15
ACC100176,922615.22
ACC100177,752643.06
ACC100178,449489.87
ACC100179,642121.50
ACC100180,489365.88
ACC100181,187425.50
ACC100182,26642.37
ACC100183,86242.43
ACC100184,834722.68
ACC100185,543897.42
ACC100186,797124.49
ACC100187,319885.45
ACC100188,361126.32
ACC100189,50958.66
ACC100190,562227.21
ACC100191,34747.06
ACC100192,104448.52
ACC100193,979872.31
ACC100194,265778.47
ACC100195,544928.76
ACC100196,709728.01
ACC100197,351219.14
ACC100198,93368.72
ACC100199,953635.38
ACC100200,777674.38
ACC100201,438174.78
ACC100202,621263.18
ACC100203,595103.85
ACC100204,490487.89
ACC100205,947272.15
ACC100206,274462.33
ACC100207,16299.51
ACC100208,458229.56
ACC100209,214795.33
ACC100210,61526.13
ACC100211,434118.31
ACC100212,748097.68
ACC100213,729869.63
ACC100214,505369.52
ACC100215,405971.46
ACC100216,558528.98
ACC100217,614170.84
ACC100218,904265.84
ACC100219,154706.18
ACC100220,718039.15
ACC100221,912971.62
ACC100222,415761.98
ACC100223,82828.42
ACC100224,315154.34
ACC100225,382974.73
ACC100226,488112.73
ACC100227,685946.54
ACC100228,840657.35
ACC100229,719053.52
ACC100230,59184.33
ACC100231,101241.41
ACC100232,116683.17
ACC100233,914626.98
ACC100234,281556.03
ACC100235,323596.66
ACC100236,718946.69
ACC100237,868941.74
ACC100238,264765.21
ACC100239,429784.72
ACC100240,318570.54
ACC100241,69015.89
ACC100242,131296.49
ACC100243,699806.83
ACC100244,98604.46
ACC100245,834419.49
ACC100246,892006.31
ACC100247,974122.95
ACC100248,777388.04
ACC100249,299423.65
ACC100250,269204.26
ACC100251,416084.09
ACC100252,306406.45
ACC100253,809345.42
ACC100254,921579.18
ACC100255,10393.22
ACC100256,644224.83
ACC100257,586148.22
ACC100258,284561.96
ACC100259,350872.06
ACC100260,860459.52
ACC100261,792526.73
ACC100262,602559.43
ACC100263,304199.48
ACC100264,184555.24
ACC100265,333813.62
ACC100266,355772.33
ACC100267,350614.07
ACC100268,73385.43
ACC100269,313089.54
ACC100270,184027.79
ACC100271,767836.18
ACC100272,699377.82
ACC100273,76860.66
ACC100274,383210.37
ACC100275,920666.75
ACC100276,796991.29
ACC100277,596588.07
ACC100278,896468.22
ACC100279,265858.52
ACC100280,849930.32
ACC100281,915210.27
ACC100282,832399.62
ACC100283,19931.18
ACC100284,924480.45
ACC100285,327595.42
ACC100286,235892.25
ACC100287,826616.44
ACC100288,805785.64
ACC100289,889592.14
ACC100290,434192.06
ACC100291,60569.05
ACC100292,983759.29
ACC100293,172017.70
ACC100294,581119.49
ACC100295,734869.64
ACC100296,143633.02
ACC100297,613529.99
ACC100298,986131.66
ACC100299,861670.63
ACC100300,22894.16
ACC100301,779873.94
ACC100302,922144.00
ACC100303,898100.45
ACC100304,421549.27
ACC100305,36476.57
ACC100306,46681.04
ACC100307,93242.23
ACC100308,736273.28
ACC100309,26783.76
ACC100310,135016.16
ACC100311,606642.34
ACC100312,831065.10
ACC100313,140089.78
ACC100314,81490.87
ACC100315,224379.73
ACC100316,477528.28
ACC100317,449905.37
ACC100318,886169.67
ACC100319,635240.73
ACC100320,326830.59
ACC100321,847142.69
ACC100322,498391.97
ACC100323,446996.01
ACC100324,492770.10
ACC100325,461565.44
ACC100326,526623.50
ACC100327,201163.46
ACC100328,81185.11
ACC100329,530059.29
ACC100330,635289.48
ACC100331,803968.93
ACC100332,615193.93
ACC100333,591323.84
ACC100334,133988.36
ACC100335,281478.31
ACC100336,358435.92
ACC100337,773568.38
ACC100338,432639.11
ACC100339,458077.47
ACC100340,369607.75
ACC100341,814714.76
ACC100342,737707.42
ACC100343,299614.27
ACC100344,11150.41
ACC100345,493467.57
ACC100346,619684.71
ACC100347,995592.76
ACC100348,952939.33
ACC100349,914406.64
ACC100350,560461.04
ACC100351,188824.48
ACC100352,118266.57
ACC100353,390989.84
ACC100354,531137.50
ACC100355,165891.73
ACC100356,824276.38
ACC100357,227023.30
ACC100358,426164.98
ACC100359,287667.24
ACC100360,662326.39
ACC100361,359764.57
ACC100362,828475.92
ACC100363,315960.15
ACC100364,655494.38
ACC100365,306368.02
ACC100366,972492.13
ACC100367,680122.73
ACC100368,180636.76
ACC100369,429865.41
ACC100370,827546.38
ACC100371,586152.31
ACC100372,971026.85
ACC100373,421293.24
ACC100374,303347.05
ACC100375,850462.68
ACC100376,652662.89
ACC100377,240937.20
ACC100378,181644.26
ACC100379,591074.73
ACC100380,802832.80
ACC100381,803957.72
ACC100382,964223.33
ACC100383,770489.85
ACC100384,333458.49
ACC100385,203894.00
ACC100386,66754.84
ACC100387,986960.97
ACC100388,984116.05
ACC100389,101713.38
ACC100390,720873.23
ACC100391,824264.81
ACC100392,60437.78
ACC100393,828180.35
ACC100394,253134.26
ACC100395,434404.61
ACC100396,112851.07
ACC100397,463364.34
ACC100398,279219.52
ACC100399,202937.07
ACC100400,298293.81
ACC100401,899088.35
ACC100402,574909.47
ACC100403,592817.69
ACC100404,173669.84
ACC100405,278039.73
ACC100406,941938.90
ACC100407,579797.72
ACC100408,94367.76
ACC100409,387122.21
ACC100410,706877.72
ACC100411,340481.98
ACC100412,444164.94
ACC100413,372423.22
ACC100414,94647.02
ACC100415,343170.80
ACC100416,454274.16
ACC100417,358902.84
ACC100418,325184.39
ACC100419,261559.82
ACC100420,139162.87
ACC100421,219580.74
ACC100422,582114.48
ACC100423,552260.80
ACC100424,45086.28
ACC100425,326604.60
ACC100426,986059.74
ACC100427,78932.30
ACC100428,794022.87
ACC100429,560129.10
ACC100430,782443.81
ACC100431,468572.98
ACC100432,90886.91
ACC100433,650416.12
ACC100434,414293.41
ACC100435,669231.31
ACC100436,625515.64
ACC100437,373987.37
ACC100438,744636.86
ACC100439,363024.19
ACC100440,922988.74
ACC100441,36017.85
ACC100442,830627.02
ACC100443,763933.29
ACC100444,86336.67
ACC100445,148453.41
ACC100446,602482.26
ACC100447,836361.20
ACC100448,614629.21
ACC100449,196568.20
ACC100450,724744.28
ACC100451,467881.38
ACC100452,456808.93
ACC100453,865847.67
ACC100454,395193.04
ACC100455,18003.56
ACC100456,437444.80
ACC100457,296190.39
ACC100458,118038.20
ACC100459,214103.46
ACC100460,334829.50
ACC100461,261466.34
ACC100462,772723.62
ACC100463,155928.51
ACC100464,344528.79
ACC100465,669452.57
ACC100466,107835.35
ACC100467,851293.04
ACC100468,82615.13
ACC100469,30086.24
ACC100470,351195.99
ACC100471,707714.77
ACC100472,602377.93
ACC100473,908833.00
ACC100474,502256.56
ACC100475,907820.46
ACC100476,776300.87
ACC100477,286763.47
ACC100478,581365.09
ACC100479,830362.81
ACC100480,201532.13
ACC100481,429662.71
ACC100482,592394.13
ACC100483,193641.23
ACC100484,291947.03
ACC100485,405168.11
ACC100486,530552.54
ACC100487,754008.24
ACC100488,743212.13
ACC100489,959537.79
ACC100490,435984.76
ACC100491,338969.08
ACC100492,299008.89
ACC100493,854197.14
ACC100494,855978.89
ACC100495,682146.12
ACC100496,986759.82
ACC100497,746693.39
ACC100498,274258.30
ACC100499,46080.59
ACC100500,559823.62
ACC100501,901107.61
ACC100502,854923.72
ACC100503,68482.88
ACC100504,160185.80
ACC100505,229331.81
ACC100506,901141.83
ACC100507,898118.85
ACC100508,741169.79
ACC100509,166912.63
ACC100510,444643.52
ACC100511,368033.34
ACC100512,663628.98
ACC100513,545396.70
ACC100514,131498.70
ACC100515,216263.04
ACC100516,491453.16
ACC100517,387281.78
ACC100518,362477.01
ACC100519,747579.84
ACC100520,53032.87
ACC100521,269785.53
ACC100522,562582.41
ACC100523,174131.50
ACC100524,664574.51
ACC100525,19688.82
ACC100526,64067.29
ACC100527,248110.81
ACC100528,58843.06
ACC100529,963492.75
ACC100530,510384.73
ACC100531,255784.99
ACC100532,899033.35
ACC100533,325048.35
ACC100534,965131.00
ACC100535,339355.84
ACC100536,252031.05
ACC100537,686675.65
ACC100538,640058.08
ACC100539,781197.90
ACC100540,888322.56
ACC100541,219583.70
ACC100542,149703.85
ACC100543,74034.54
ACC100544,647248.55
ACC100545,415135.00
ACC100546,647091.62
ACC100547,920564.10
ACC100548,56168.83
ACC100549,10168.63
ACC100550,505292.12
ACC100551,56936.25
ACC100552,160417.31
ACC100553,37202.98
ACC100554,193420.85
ACC100555,606304.89
ACC100556,497672.99
ACC100557,713884.41
ACC100558,132860.21
ACC100559,11448.08
ACC100560,855559.14
ACC100561,455530.29
ACC100562,730150.26
ACC100563,159146.09
ACC100564,474905.73
ACC100565,760035.01
ACC100566,357083.54
ACC100567,713647.89
ACC100568,443170.54
ACC100569,845764.77
ACC100570,136069.01
ACC100571,602131.69
ACC100572,653012.60
ACC100573,40362.20
ACC100574,629796.65
ACC100575,521580.16
ACC100576,289947.00
ACC100577,171613.68
ACC100578,68638.92
ACC100579,953940.83
ACC100580,960383.54
ACC100581,730703.04
ACC100582,347066.34
ACC100583,734831.34
ACC100584,17161.39
ACC100585,423281.81
ACC100586,631634.95
ACC100587,920375.90
ACC100588,853941.35
ACC100589,494831.80
ACC100590,127819.04
ACC100591,607021.99
ACC100592,502501.17
ACC100593,383777.77
ACC100594,771117.33
ACC100595,820388.30
ACC100596,178103.97
ACC100597,658728.37
ACC100598,299452.83
ACC100599,701333.22
ACC100600,717669.29
ACC100601,655080.22
ACC100602,288915.42
ACC100603,730509.48
ACC100604,33474.94
ACC100605,711015.72
ACC100606,523363.12
ACC100607,856684.15
ACC100608,811553.12
ACC100609,333656.89
ACC100610,600302.85
ACC100611,89054.35
ACC100612,348817.24
ACC100613,232808.19
ACC100614,780812.08
ACC100615,69677.91
ACC100616,336266.64
ACC100617,622327.87
ACC100618,620043.62
ACC100619,238964.09
ACC100620,997364.55
ACC100621,897713.07
ACC100622,227071.28
ACC100623,894933.28
ACC100624,560869.70
ACC100625,222965.90
ACC100626,248488.88
ACC100627,755655.89
ACC100628,676025.34
ACC100629,440227.56
ACC100630,569267.51
ACC100631,423919.07
ACC100632,265070.25
ACC100633,272025.57
ACC100634,416903.93
ACC100635,453746.31
ACC100636,883533.78
ACC100637,438273.20
ACC100638,80861.13
ACC100639,639908.50
ACC100640,392712.99
ACC100641,198393.65
ACC100642,778705.45
ACC100643,354016.02
ACC100644,801102.68
ACC100645,503110.25
ACC100646,253186.89
ACC100647,904170.84
ACC100648,522359.98
ACC100649,780552.87
ACC100650,340788.37
ACC100651,199482.54
ACC100652,806632.85
ACC100653,227373.88
ACC100654,801986.72
ACC100655,916017.32
ACC100656,59767.58
ACC100657,237551.17
ACC100658,636622.03
ACC100659,156948.70
ACC100660,921033.70
ACC100661,789474.42
ACC100662,574364.35
ACC100663,166818.69
ACC100664,474564.39
ACC100665,125768.66
ACC100666,400295.60
ACC100667,777893.48
ACC100668,532709.81
ACC100669,340104.26
ACC100670,369091.44
ACC100671,945611.46
ACC100672,200934.96
ACC100673,440974.60
ACC100674,648192.34
ACC100675,480073.05
ACC100676,53767.90
ACC100677,314092.83
ACC100678,960694.65
ACC100679,421410.06
ACC100680,799613.83
ACC100681,202666.33
ACC100682,712471.97
ACC100683,948698.42
ACC100684,458999.21
ACC100685,458352.59
ACC100686,755253.63
ACC100687,144842.21
ACC100688,655994.95
ACC100689,245182.64
ACC100690,668041.69
ACC100691,413557.61
ACC100692,866191.84
ACC100693,214157.83
ACC100694,723339.58
ACC100695,179224.50
ACC100696,256660.52
ACC100697,237583.59
ACC100698,102194.66
ACC100699,545949.12
ACC100700,503827.65
ACC100701,579498.44
ACC100702,743023.89
ACC100703,758695.51
ACC100704,764134.63
ACC100705,21788.90
ACC100706,253596.20
ACC100707,496793.95
ACC100708,769718.56
ACC100709,824751.10
ACC100710,443386.68
ACC100711,958523.66
ACC100712,627165.91
ACC100713,755967.23
ACC100714,954797.19
ACC100715,354793.45
ACC100716,361636.80
ACC100717,522409.75
ACC100718,66454.95
ACC100719,940206.80
ACC100720,161344.11
ACC100721,607668.71
ACC100722,889954.34
ACC100723,911000.18
ACC100724,468493.95
ACC100725,769117.90
ACC100726,82999.95
ACC100727,721480.98
ACC100728,522355.21
ACC100729,778692.29
ACC100730,26937.07
ACC100731,723668.70
ACC100732,628123.35
ACC100733,705744.55
ACC100734,525123.52
ACC100735,548855.42
ACC100736,571679.76
ACC100737,271180.89
ACC100738,360500.65
ACC100739,634754.09
ACC100740,755220.50
ACC100741,538746.23
ACC100742,256062.97
ACC100743,277790.90
ACC100744,332039.14
ACC100745,621935.97
ACC100746,360705.46
ACC100747,396924.54
ACC100748,340496.36
ACC100749,733557.27
ACC100750,605144.42
ACC100751,363138.79
ACC100752,177394.46
ACC100753,499443.94
ACC100754,548261.63
ACC100755,37456.03
ACC100756,919598.07
ACC100757,168250.41
ACC100758,223313.97
ACC100759,379957.91
ACC100760,989802.76
ACC100761,895606.43
ACC100762,245979.32
ACC100763,22875.69
ACC100764,337851.68
ACC100765,243209.91
ACC100766,932176.79
ACC100767,152326.30
ACC100768,862935.15
ACC100769,311667.04
ACC100770,453003.80
ACC100771,475721.35
ACC100772,254382.01
ACC100773,410059.61
ACC100774,36973.32
ACC100775,895265.25
ACC100776,19561.66
ACC100777,175326.01
ACC100778,316015.45
ACC100779,932284.28
ACC100780,66663.61
ACC100781,530587.74
ACC100782,261422.73
ACC100783,62392.72
ACC100784,117807.44
ACC100785,383535.80
ACC100786,659074.03
ACC100787,397702.61
ACC100788,184058.37
ACC100789,973910.95
ACC100790,399863.04
ACC100791,569423.25
ACC100792,208485.10
ACC100793,752969.26
ACC100794,561287.02
ACC100795,672271.98
ACC100796,206393.69
ACC100797,517619.73
ACC100798,319617.77
ACC100799,861131.61
ACC100800,763307.60
ACC100801,647652.60
ACC100802,938981.93
ACC100803,330341.52
ACC100804,581136.36
ACC100805,286147.22
ACC100806,734018.57
ACC100807,846897.45
ACC100808,711286.67
ACC100809,190755.72
ACC100810,626561.93
ACC100811,640661.56
ACC100812,720216.73
ACC100813,427103.76
ACC100814,194013.82
ACC100815,567448.04
ACC100816,388121.44
ACC100817,775031.61
ACC100818,397724.57
ACC100819,414550.52
ACC100820,665057.83
ACC100821,233819.38
ACC100822,903792.67
ACC100823,382916.28
ACC100824,780881.71
ACC100825,853897.27
ACC100826,916223.64
ACC100827,575748.46
ACC100828,765864.02
ACC100829,789836.34
ACC100830,563354.22
ACC100831,829831.30
ACC100832,587790.76
ACC100833,72648.50
ACC100834,652853.22
ACC100835,883323.99
ACC100836,28724.18
ACC100837,548593.80
ACC100838,158451.66
ACC100839,542158.56
ACC100840,780412.38
ACC100841,296800.23
ACC100842,52834.17
ACC100843,196501.93
ACC100844,961583.71
ACC100845,249047.21
ACC100846,445840.91
ACC100847,779007.13
ACC100848,863046.68
ACC100849,262045.08
ACC100850,665282.47
ACC100851,37779.24
ACC100852,287640.34
ACC100853,155464.01
ACC100854,719263.58
ACC100855,599120.60
ACC100856,971639.53
ACC100857,617822.13
ACC100858,73939.11
ACC100859,568195.68
ACC100860,582218.37
ACC100861,577138.47
ACC100862,819093.84
ACC100863,629769.73
ACC100864,442010.22
ACC100865,743988.12
ACC100866,545841.37
ACC100867,116127.17
ACC100868,916675.89
ACC100869,41267.30
ACC100870,666078.87
ACC100871,955163.03
ACC100872,554701.98
ACC100873,647583.18
ACC100874,62114.93
ACC100875,738468.45
ACC100876,80399.80
ACC100877,589728.53
ACC100878,757102.67
ACC100879,676993.40
ACC100880,601260.20
ACC100881,704183.40
ACC100882,972566.81
ACC100883,760572.54
ACC100884,659443.40
ACC100885,218005.92
ACC100886,378402.94
ACC100887,17237.24
ACC100888,424242.92
ACC100889,175832.40
ACC100890,483258.51
ACC100891,38814.17
ACC100892,517860.93
ACC100893,242000.64
ACC100894,439170.46
ACC100895,140823.86
ACC100896,60768.21
ACC100897,635044.05
ACC100898,693739.23
ACC100899,377144.11
ACC100900,55294.09
ACC100901,185973.04
ACC100902,255961.06
ACC100903,83291.69
ACC100904,236903.47
ACC100905,871868.49
ACC100906,908118.83
ACC100907,606501.90
ACC100908,401865.00
ACC100909,552356.12
ACC100910,635849.58
ACC100911,316049.32
ACC100912,777700.76
ACC100913,798513.81
ACC100914,531660.24
ACC100915,933454.15
ACC100916,628930.41
ACC100917,421683.28
ACC100918,113755.50
ACC100919,949357.63
ACC100920,185183.52
ACC100921,433515.33
ACC100922,522070.80
ACC100923,721925.24
ACC100924,321751.82
ACC100925,838372.36
ACC100926,156870.09
ACC100927,640651.14
ACC100928,874088.71
ACC100929,94944.88
ACC100930,522172.64
ACC100931,849388.05
ACC100932,247636.05
ACC100933,435608.10
ACC100934,746614.71
ACC100935,543314.84
ACC100936,52669.61
ACC100937,259652.21
ACC100938,928131.29
ACC100939,246381.64
ACC100940,40601.34
ACC100941,690065.46
ACC100942,666059.86
ACC100943,58534.38
ACC100944,933363.72
ACC100945,783030.52
ACC100946,584922.59
ACC100947,235723.20
ACC100948,981123.08
ACC100949,824715.66
ACC100950,238234.79
ACC100951,110336.68
ACC100952,995630.21
ACC100953,411298.72
ACC100954,848217.40
ACC100955,835281.30
ACC100956,417014.40
ACC100957,245457.48
ACC100958,548257.25
ACC100959,211437.72
ACC100960,400762.20
ACC100961,735792.16
ACC100962,269363.90
ACC100963,165677.91
ACC100964,258996.10
ACC100965,904815.60
ACC100966,359713.15
ACC100967,585015.26
ACC100968,645977.93
ACC100969,176254.31
ACC100970,47646.93
ACC100971,431785.89
ACC100972,752010.48
ACC100973,253448.55
ACC100974,103215.77
ACC100975,65023.33
ACC100976,422596.02
ACC100977,457621.47
ACC100978,51504.57
ACC100979,434389.79
ACC100980,470833.90
ACC100981,337708.28
ACC100982,782574.27
ACC100983,545165.83
ACC100984,840599.11
ACC100985,772292.64
ACC100986,107880.95
ACC100987,355876.62
ACC100988,966042.86
ACC100989,438993.46
ACC100990,741501.03
ACC100991,284146.34
ACC100992,749390.79
ACC100993,607376.93
ACC100994,716395.55
ACC100995,261323.91
ACC100996,873888.00
ACC100997,298138.93
ACC100998,411287.76
ACC100999,202311.32
ACC101000,752050.52
ACC101001,783910.44
ACC101002,562508.54
ACC101003,733852.46
ACC101004,191130.92
ACC101005,625583.16
ACC101006,657379.81
ACC101007,32304.00
ACC101008,107891.08
ACC101009,422535.11
ACC101010,331361.51
ACC101011,450610.63
ACC101012,23398.56
ACC101013,715556.32
ACC101014,390278.51
ACC101015,43846.11
ACC101016,665623.31
ACC101017,667631.27
ACC101018,791473.89
ACC101019,603257.67
ACC101020,193109.51
ACC101021,160030.71
ACC101022,343701.34
ACC101023,550264.51
ACC101024,536932.95
ACC101025,509396.71
ACC101026,194974.06
ACC101027,574313.08
ACC101028,310527.42
ACC101029,25676.14
ACC101030,370429.13
ACC101031,561879.96
ACC101032,67774.04
ACC101033,980863.77
ACC101034,248545.46
ACC101035,218239.23
ACC101036,258995.64
ACC101037,94562.13
ACC101038,623770.79
ACC101039,168875.53
ACC101040,342183.69
ACC101041,594347.23
ACC101042,456766.91
ACC101043,583624.45
ACC101044,252908.33
ACC101045,896849.23
ACC101046,410074.40
ACC101047,593761.17
ACC101048,440922.99
ACC101049,769314.73
ACC101050,487027.24
ACC101051,110333.83
ACC101052,874472.27
ACC101053,701211.81
ACC101054,625214.95
ACC101055,61052.43
ACC101056,914748.56
ACC101057,651172.27
ACC101058,752693.42
ACC101059,412994.79
ACC101060,772814.36
ACC101061,646234.21
ACC101062,95488.15
ACC101063,709279.79
ACC101064,389619.59
ACC101065,567956.75
ACC101066,568712.45
ACC101067,369684.68
ACC101068,846489.37
ACC101069,753522.66
ACC101070,150840.07
ACC101071,437946.26
ACC101072,188644.99
ACC101073,949427.72
ACC101074,411326.19
ACC101075,52187.65
ACC101076,217942.55
ACC101077,500775.07
ACC101078,325862.19
ACC101079,259550.31
ACC101080,423075.18
ACC101081,610550.74
ACC101082,211079.18
ACC101083,641687.85
ACC101084,245982.06
ACC101085,60550.90
ACC101086,11481.86
ACC101087,554291.21
ACC101088,952143.71
ACC101089,528864.35
ACC101090,705798.89
ACC101091,581266.31
ACC101092,399815.59
ACC101093,537983.29
ACC101094,337777.36
ACC101095,462574.09
ACC101096,69062.71
ACC101097,682722.92
ACC101098,277728.33
ACC101099,344068.46
ACC101100,755706.06
ACC101101,798175.61
ACC101102,815847.75
ACC101103,47931.95
ACC101104,847977.33
ACC101105,534907.40
ACC101106,736490.34
ACC101107,723509.78
ACC101108,384800.96
ACC101109,601524.71
ACC101110,364166.88
ACC101111,160481.55
ACC101112,684183.83
ACC101113,133596.60
ACC101114,117063.76
ACC101115,589386.44
ACC101116,948190.23
ACC101117,212712.90
ACC101118,712351.29
ACC101119,128530.70
ACC101120,197415.78
ACC101121,40190.57
ACC101122,309450.63
ACC101123,301258.37
ACC101124,312746.98
ACC101125,756611.05
ACC101126,522771.89
ACC101127,583453.91
ACC101128,595503.17
ACC101129,520978.71
ACC101130,164214.57
ACC101131,387971.96
ACC101132,848806.31
ACC101133,931834.81
ACC101134,497938.77
ACC101135,160453.71
ACC101136,423209.26
ACC101137,687144.83
ACC101138,405569.60
ACC101139,199689.14
ACC101140,888236.22
ACC101141,790196.19
ACC101142,389089.15
ACC101143,805324.70
ACC101144,888549.62
ACC101145,495100.87
ACC101146,401199.57
ACC101147,496290.73
ACC101148,438955.96
ACC101149,767792.85
ACC101150,748907.96
ACC101151,34837.72
ACC101152,496398.21
ACC101153,846642.06
ACC101154,745487.36
ACC101155,323520.73
ACC101156,29456.03
ACC101157,240976.99
ACC101158,738810.83
ACC101159,225861.02
ACC101160,556685.05
ACC101161,245915.27
ACC101162,120334.03
ACC101163,555738.79
ACC101164,514374.79
ACC101165,127946.31
ACC101166,378719.14
ACC101167,905835.99
ACC101168,811990.43
ACC101169,577693.04
ACC101170,885247.13
ACC101171,991648.26
ACC101172,39686.26
ACC101173,444199.01
ACC101174,34756.72
ACC101175,654724.34
ACC101176,316839.96
ACC101177,168945.18
ACC101178,475878.42
ACC101179,906867.00
ACC101180,453553.76
ACC101181,797595.18
ACC101182,87798.23
ACC101183,826044.00
ACC101184,138505.51
ACC101185,63200.45
ACC101186,387690.10
ACC101187,344707.65
ACC101188,56404.22
ACC101189,176266.70
ACC101190,13298.34
ACC101191,572111.09
ACC101192,736616.54
ACC101193,184690.19
ACC101194,418929.63
ACC101195,664035.38
ACC101196,321277.65
ACC101197,550117.78
ACC101198,310332.10
ACC101199,626104.83
ACC101200,986386.42
ACC101201,926766.38
ACC101202,544592.68
ACC101203,140569.59
ACC101204,13006.74
ACC101205,244158.43
ACC101206,75275.47
ACC101207,871072.93
ACC101208,117758.78
ACC101209,206586.07
ACC101210,370554.01
ACC101211,465497.00
ACC101212,872280.81
ACC101213,909413.04
ACC101214,93056.22
ACC101215,733494.30
ACC101216,130278.16
ACC101217,35554.57
ACC101218,224545.74
ACC101219,632763.47
ACC101220,768149.47
ACC101221,684646.15
ACC101222,776404.75
ACC101223,796516.65
ACC101224,550989.88
ACC101225,272519.38
ACC101226,268162.99
ACC101227,493911.53
ACC101228,960019.96
ACC101229,839647.65
ACC101230,371034.27
ACC101231,315485.71
ACC101232,420173.80
ACC101233,44207.32
ACC101234,201576.23
ACC101235,866830.81
ACC101236,897703.40
ACC101237,968319.73
ACC101238,82180.52
ACC101239,415883.82
ACC101240,857216.66
ACC101241,834896.73
ACC101242,400130.54
ACC101243,202288.67
ACC101244,765564.40
ACC101245,617307.57
ACC101246,255430.12
ACC101247,231294.39
ACC101248,816427.55
ACC101249,544817.19
ACC101250,619510.82
ACC101251,929608.26
ACC101252,544328.55
ACC101253,733416.04
ACC101254,702267.80
ACC101255,216510.14
ACC101256,670101.37
ACC101257,734268.80
ACC101258,573653.12
ACC101259,240360.96
ACC101260,451603.10
ACC101261,540554.57
ACC101262,688271.87
ACC101263,388401.72
ACC101264,783635.00
ACC101265,17953.23
ACC101266,997081.75
ACC101267,706440.59
ACC101268,939664.67
ACC101269,554452.58
